日期,最低,最高,平均,同比,环比,阶段
2014-12-01,10200.0,10300.0,10250.0,,,上涨期
2014-12-02,10150.0,10250.0,10200.0,,-0.49%,上涨期
2014-12-03,10050.0,10150.0,10100.0,,-0.98%,上涨期
2014-12-04,9900.0,10000.0,9950.0,,-1.49%,上涨期
2014-12-05,9750.0,9850.0,9800.0,,-1.51%,上涨期
2014-12-08,9700.0,9800.0,9750.0,,-0.51%,上涨期
2014-12-09,9550.0,9650.0,9600.0,,-1.54%,上涨期
2014-12-10,9350.0,9450.0,9400.0,,-2.08%,上涨期
2014-12-11,9150.0,9250.0,9200.0,,-2.13%,上涨期
2014-12-12,8950.0,9050.0,9000.0,,-2.17%,上涨期
2014-12-15,8750.0,8850.0,8800.0,,-2.22%,上涨期
2014-12-16,8850.0,8950.0,8900.0,,1.14%,上涨期
2014-12-17,9050.0,9150.0,9100.0,,2.25%,上涨期
2014-12-18,9150.0,9250.0,9200.0,,1.10%,上涨期
2014-12-19,9250.0,9350.0,9300.0,,1.09%,上涨期
2014-12-22,9450.0,9550.0,9500.0,,2.15%,上涨期
2014-12-23,9650.0,9750.0,9700.0,,2.11%,上涨期
2014-12-24,9550.0,9650.0,9600.0,,-1.03%,上涨期
2014-12-25,9450.0,9550.0,9500.0,,-1.04%,上涨期
2014-12-26,9450.0,9550.0,9500.0,,0.00%,上涨期
2014-12-29,9350.0,9450.0,9400.0,,-1.05%,上涨期
2014-12-30,9350.0,9450.0,9400.0,,0.00%,上涨期
2014-12-31,9350.0,9450.0,9400.0,,0.00%,上涨期
2015-01-04,9350.0,9450.0,9400.0,,0.00%,上涨期
2015-01-05,9250.0,9350.0,9300.0,,-1.06%,上涨期
2015-01-06,9050.0,9150.0,9100.0,,-2.15%,上涨期
2015-01-07,8850.0,8950.0,8900.0,,-2.20%,上涨期
2015-01-08,8550.0,8650.0,8600.0,,-3.37%,上涨期
2015-01-09,8250.0,8350.0,8300.0,,-3.49%,上涨期
2015-01-12,8150.0,8250.0,8200.0,,-1.20%,上涨期
2015-01-13,8150.0,8250.0,8200.0,,0.00%,上涨期
2015-01-14,8050.0,8150.0,8100.0,,-1.22%,上涨期
2015-01-15,8250.0,8350.0,8300.0,,2.47%,上涨期
2015-01-16,8350.0,8450.0,8400.0,,1.20%,上涨期
2015-01-19,8450.0,8550.0,8500.0,,1.19%,上涨期
2015-01-20,8550.0,8650.0,8600.0,,1.18%,上涨期
2015-01-21,8550.0,8650.0,8600.0,,0.00%,上涨期
2015-01-22,8450.0,8550.0,8500.0,,-1.16%,上涨期
2015-01-23,8250.0,8350.0,8300.0,,-2.35%,上涨期
2015-01-26,8050.0,8150.0,8100.0,,-2.41%,上涨期
2015-01-27,7950.0,8050.0,8000.0,,-1.23%,上涨期
2015-01-28,7850.0,7950.0,7900.0,,-1.25%,上涨期
2015-01-29,7850.0,7950.0,7900.0,,0.00%,上涨期
2015-01-30,7950.0,8050.0,8000.0,,1.27%,上涨期
2015-02-02,8000.0,8100.0,8050.0,,0.63%,上涨期
2015-02-03,8100.0,8200.0,8150.0,,1.24%,上涨期
2015-02-04,8250.0,8350.0,8300.0,,1.84%,上涨期
2015-02-05,8150.0,8250.0,8200.0,,-1.20%,上涨期
2015-02-06,8200.0,8300.0,8250.0,,0.61%,上涨期
2015-02-09,8200.0,8300.0,8250.0,,0.00%,上涨期
2015-02-10,8250.0,8350.0,8300.0,,0.61%,上涨期
2015-02-11,8250.0,8350.0,8300.0,,0.00%,上涨期
2015-02-12,8250.0,8350.0,8300.0,,0.00%,上涨期
2015-02-13,8300.0,8400.0,8350.0,,0.60%,上涨期
2015-02-15,8300.0,8400.0,8350.0,,0.00%,上涨期
2015-02-16,8300.0,8400.0,8350.0,,0.00%,上涨期
2015-02-17,8300.0,8400.0,8350.0,,0.00%,上涨期
2015-02-25,8300.0,8400.0,8350.0,,0.00%,上涨期
2015-02-26,8350.0,8400.0,8375.0,,0.30%,上涨期
2015-02-27,8400.0,8500.0,8450.0,,0.90%,上涨期
2015-02-28,8450.0,8550.0,8500.0,,0.59%,上涨期
2015-03-02,8500.0,8600.0,8550.0,,0.59%,上涨期
2015-03-03,8600.0,8700.0,8650.0,,1.17%,上涨期
2015-03-04,8550.0,8650.0,8600.0,,-0.58%,上涨期
2015-03-05,8500.0,8600.0,8550.0,,-0.58%,上涨期
2015-03-06,8500.0,8600.0,8550.0,,0.00%,上涨期
2015-03-09,8450.0,8550.0,8500.0,,-0.58%,上涨期
2015-03-10,8350.0,8450.0,8400.0,,-1.18%,上涨期
2015-03-11,8200.0,8300.0,8250.0,,-1.79%,上涨期
2015-03-12,8100.0,8200.0,8150.0,,-1.21%,上涨期
2015-03-13,8300.0,8400.0,8350.0,,2.45%,下跌期
2015-03-16,8300.0,8400.0,8350.0,,0.00%,平稳期
2015-03-17,8350.0,8450.0,8400.0,,0.60%,平稳期
2015-03-18,8350.0,8450.0,8400.0,,0.00%,平稳期
2015-03-19,8350.0,8450.0,8400.0,,0.00%,平稳期
2015-03-20,8350.0,8450.0,8400.0,,0.00%,平稳期
2015-03-23,8500.0,8600.0,8550.0,,1.79%,平稳期
2015-03-24,8650.0,8750.0,8700.0,,1.75%,平稳期
2015-03-25,8700.0,8800.0,8750.0,,0.57%,平稳期
2015-03-26,8650.0,8750.0,8700.0,,-0.57%,平稳期
2015-03-27,8750.0,8850.0,8800.0,,1.15%,平稳期
2015-03-30,8750.0,8850.0,8800.0,,0.00%,下跌期
2015-03-31,8750.0,8850.0,8800.0,,0.00%,下跌期
2015-04-01,8800.0,8900.0,8850.0,,0.57%,下跌期
2015-04-02,8900.0,9000.0,8950.0,,1.13%,下跌期
2015-04-03,8950.0,9050.0,9000.0,,0.56%,下跌期
2015-04-07,9000.0,9100.0,9050.0,,0.56%,下跌期
2015-04-08,9100.0,9200.0,9150.0,,1.10%,下跌期
2015-04-09,9150.0,9250.0,9200.0,,0.55%,平稳期
2015-04-10,9100.0,9200.0,9150.0,,-0.54%,平稳期
2015-04-13,9100.0,9200.0,9150.0,,0.00%,平稳期
2015-04-14,9050.0,9150.0,9100.0,,-0.55%,平稳期
2015-04-15,9000.0,9100.0,9050.0,,-0.55%,平稳期
2015-04-16,9050.0,9150.0,9100.0,,0.55%,平稳期
2015-04-17,9050.0,9150.0,9100.0,,0.00%,平稳期
2015-04-20,9100.0,9200.0,9150.0,,0.55%,平稳期
2015-04-21,9150.0,9250.0,9200.0,,0.55%,平稳期
2015-04-22,9150.0,9250.0,9200.0,,0.00%,平稳期
2015-04-23,9200.0,9300.0,9250.0,,0.54%,平稳期
2015-04-24,9350.0,9450.0,9400.0,,1.62%,平稳期
2015-04-27,9450.0,9550.0,9500.0,,1.06%,平稳期
2015-04-28,9600.0,9700.0,9650.0,,1.58%,平稳期
2015-04-29,9600.0,9700.0,9650.0,,0.00%,平稳期
2015-04-30,9650.0,9750.0,9700.0,,0.52%,平稳期
2015-05-04,9650.0,9750.0,9700.0,,0.00%,平稳期
2015-05-05,9650.0,9750.0,9700.0,,0.00%,平稳期
2015-05-06,9650.0,9750.0,9700.0,,0.00%,平稳期
2015-05-07,9600.0,9700.0,9650.0,,-0.52%,平稳期
2015-05-08,9450.0,9550.0,9500.0,,-1.55%,平稳期
2015-05-11,9400.0,9500.0,9450.0,,-0.53%,平稳期
2015-05-12,9350.0,9450.0,9400.0,,-0.53%,平稳期
2015-05-13,9300.0,9400.0,9350.0,,-0.53%,平稳期
2015-05-14,9150.0,9250.0,9200.0,,-1.60%,平稳期
2015-05-15,9100.0,9200.0,9150.0,,-0.54%,平稳期
2015-05-18,9000.0,9100.0,9050.0,,-1.09%,下跌期
2015-05-19,8950.0,9050.0,9000.0,,-0.55%,平稳期
2015-05-20,8850.0,8950.0,8900.0,,-1.11%,平稳期
2015-05-21,8900.0,9000.0,8950.0,,0.56%,平稳期
2015-05-22,9050.0,9150.0,9100.0,,1.68%,平稳期
2015-05-25,9200.0,9300.0,9250.0,,1.65%,平稳期
2015-05-26,9250.0,9350.0,9300.0,,0.54%,平稳期
2015-05-27,9200.0,9300.0,9250.0,,-0.54%,平稳期
2015-05-28,9150.0,9250.0,9200.0,,-0.54%,平稳期
2015-05-29,8950.0,9050.0,9000.0,,-2.17%,平稳期
2015-06-01,8900.0,9000.0,8950.0,,-0.56%,平稳期
2015-06-02,8900.0,9000.0,8950.0,,0.00%,平稳期
2015-06-03,8900.0,9000.0,8950.0,,0.00%,平稳期
2015-06-04,8900.0,9000.0,8950.0,,0.00%,平稳期
2015-06-05,8800.0,8900.0,8850.0,,-1.12%,下跌期
2015-06-08,8800.0,8900.0,8850.0,,0.00%,下跌期
2015-06-09,8800.0,8900.0,8850.0,,0.00%,平稳期
